Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Substance use disorders,Type of renewable technology,Severity of price levels,Sex,Deviation Level,Mountain Elevation,Parliamentary committees,Mode of transportation,Level_of_government,Fiscal intervention stage,Type of support,Type of speed,Policy instruments,Policy Domains,Counterpart,Type of skill,Education level,Type of waste treatment,Location,Food Waste Sector,Reporting Type,Freq,Type of product,Cause of death,Report Ordinal,Government_Name,Observation Status,Type of occupation,Name of non-communicable disease,Grounds of discrimination,Units,Level/Status,Age,Disability status,Frequency of Chlorophyll-a concentration,Activity,Nature,Sampling Stations,Cities,Level of requirement,Quantile,IHR Capacity,Hazard type,Migratory status,Population Group,Name of international institution
14,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),28,Antigua and Barbuda,2017,47.04,2010-2017,,,,,Global Model for Monitoring Marine Litter,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
14,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),28,Antigua and Barbuda,2018,47.56,2010-2018,,,,,Global Model for Monitoring Marine Litter,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
14,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),28,Antigua and Barbuda,2019,42.68,2010-2019,,,,,Global Model for Monitoring Marine Litter,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
14,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),28,Antigua and Barbuda,2020,34.7,2010-2020,,,,,Global Model for Monitoring Marine Litter,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
14,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),28,Antigua and Barbuda,2021,35.61,2010-2021,,,,,Global Model for Monitoring Marine Litter,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
14,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),44,Bahamas,2017,18.55,2010-2017,,,,,Global Model for Monitoring Marine Litter,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
14,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),44,Bahamas,2018,15.78,2010-2018,,,,,Global Model for Monitoring Marine Litter,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
14,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),44,Bahamas,2019,14.13,2010-2019,,,,,Global Model for Monitoring Marine Litter,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
14,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),44,Bahamas,2020,12.2,2010-2020,,,,,Global Model for Monitoring Marine Litter,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
14,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),44,Bahamas,2021,11.19,2010-2021,,,,,Global Model for Monitoring Marine Litter,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
