Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Substance use disorders,Type of renewable technology,Severity of price levels,Sex,Deviation Level,Mountain Elevation,Parliamentary committees,Mode of transportation,Level_of_government,Fiscal intervention stage,Type of support,Type of speed,Policy instruments,Policy Domains,Counterpart,Type of skill,Education level,Type of waste treatment,Location,Food Waste Sector,Reporting Type,Freq,Type of product,Cause of death,Report Ordinal,Government_Name,Observation Status,Type of occupation,Name of non-communicable disease,Grounds of discrimination,Units,Level/Status,Age,Disability status,Frequency of Chlorophyll-a concentration,Activity,Nature,Sampling Stations,Cities,Level of requirement,Quantile,IHR Capacity,Hazard type,Migratory status,Population Group,Name of international institution
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2010,NaN,2010,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2010,NaN,2010,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2010,NaN,2010,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2011,NaN,2011,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2011,NaN,2011,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2011,NaN,2011,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2012,NaN,2012,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2012,NaN,2012,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2012,NaN,2012,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2013,NaN,2013,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2013,NaN,2013,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2013,NaN,2013,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2014,NaN,2014,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2014,NaN,2014,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2014,NaN,2014,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2015,NaN,2015,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2015,NaN,2015,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2015,NaN,2015,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2016,NaN,2016,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2016,NaN,2016,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2016,NaN,2016,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2017,NaN,2017,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2017,NaN,2017,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2017,NaN,2017,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2018,NaN,2018,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2018,NaN,2018,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2018,NaN,2018,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2019,NaN,2019,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2019,NaN,2019,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2019,NaN,2019,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2020,NaN,2020,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2020,NaN,2020,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2020,NaN,2020,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2000,97.68926,2000,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2000,100,2000,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2000,96.59548,2000,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2001,96.75639,2001,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2001,99.99794,2001,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
